Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C5",0402,3,10μF,
C3,0402,1,100nF,
"C4, C6, C7, C8",0402,4,1μF,
"D1, D2, D3, D4, D5, D6",LED_LTST-C230KRKT,6,Red,C125107
D7,D_SOD-323,1,1N5819WS,C191023
J4,SolderWire-0.1sqmm_1x03_P3.6mm_D0.4mm_OD1mm,1,Conn_01x03,
Q1,SOT-23,1,AO3401A,C20917
"R1, R2, R3, R4, R5, R7",0402,6,2k2,
R10,0402,1,100kR,
R6,0402,1,33k,
"R8, R9",0402,2,4k7,
"S1, S2, S3",SW_EVQ-P7C01P,3,EVQ-P7C01P,C388883
U1,SOT-23-5,1,MCP73831T-2ACI/OT,C424093
U2,VQFN20_REB_MCH,1,ATTINY1616-MN,C507118
U3,VSSOP-10_3x3mm_P0.5mm,1,DRV2605LDGS,C527464
U4,SOT-23-3,1,XC6206P332MR-G,C5446
