Designator,Mid X,Mid Y,Rotation,Layer
C1,0.65,-21.52,90.0,top
C2,5.95,-21.5,90.0,top
C3,22.37,-12.800001,270.0,top
C4,14.3,-16.2,270.0,top
C5,15.4,-16.2,270.0,top
C6,12.82,-9.6,180.0,top
C7,6.5,-10.32,90.0,top
C8,6.97,-16.1,180.0,top
D1,6.0,-3.0,90.0,top
D2,10.0,-3.0,90.0,top
D3,14.0,-3.0,90.0,top
D4,18.0,-3.0,90.0,top
D5,22.0,-3.0,90.0,top
D6,2.0,-3.0,90.0,top
D7,2.98,-11.49,180.0,top
Q1,2.6875,-14.25,0.0,top
R1,8.0,-1.7,90.0,top
R10,2.43,-9.94,180.0,top
R2,12.0,-1.7,90.0,top
R3,16.0,-1.7,90.0,top
R4,20.0,-1.7,90.0,top
R5,24.0,-1.7,90.0,top
R6,5.95,-19.52,270.0,top
R7,4.0,-1.71,270.0,top
R8,14.7,-14.21,270.0,top
R9,14.7,-12.2,90.0,top
S1,26.3,-23.0,90.0,top
S2,26.3,-15.0,90.0,top
S3,26.3,-7.0,90.0,top
U1,3.3,-21.02,180.0,top
U2,19.67,-13.000001,180.0,top
U3,12.3,-13.4,270.0,top
U4,6.5,-13.4275,270.0,top
